HOUSE_SRN,HOUSE_NAME,CITY,AREA,LOCATION,DEVELOPER,PPTY_MGMT_COMP,NEW_OPEN_DATE,OWNERSHIP_PERIOD,PARK,DECORATE,PPTY_MGMT_TYPE,HOUSE_STATUS
53392,百合苑,深圳,宝安,宝城三十区,,深圳市新银物业管理有限公司,,70年,只有露天车位,,普通住宅,售罄
53393,云峰花园,深圳,罗湖,罗湖区友谊路29号,,深圳云峰花园物业有限公司,,70年,400,,普通住宅,售罄
53394,云海山庄,深圳,大鹏,龙岗区大鹏镇下沙村,,深圳市安诚置业发展有限公司,,70年,0,,别墅,售罄
53395,椰树花园,深圳,福田,福田区沙嘴路西侧117号,,深圳市财富物业管理有限公司,,70年,室内20位 室外80位；车位费：室内￥250.00/月 室外￥110.00/月,,普通住宅,售罄
53396,布心花园二期,深圳,罗湖,罗湖区布心路1012号,,深圳市城建物业管理有限公司,,70年,配备车位,,普通住宅,售罄
53397,华茂欣园,深圳,福田,新洲路与红荔西路交汇点,,深圳市友银物业管理有限公司,,70年,地下室2层停车场，共有车位327个,,普通住宅,售罄
53398,梅花山庄,深圳,龙华,龙华街道办事处民治大道旁梅花山庄,,深圳市恒穗物业发展有限公司,,70年,每户都有独立车位,,别墅,售罄
53399,鹿岭苑,深圳,罗湖,深圳市罗湖区泥岗东路1126号,,,,70年,60,,普通住宅,售罄
53400,凯伦花园,深圳,福田,福田区上梅林凯丰路,,深圳市锦峰房地产开发有限公司,,70年,有地下停车位,,普通住宅,售罄
53401,梅兴苑,深圳,福田,福田上梅林梅华路,,深圳市锦峰房地产开发有限公司,,70年,300,,普通住宅,售罄
53402,锦林新居,深圳,福田,福田区下梅林梅华路,,深圳市锦峰房地产开发有限公司,,70年,地上110元/月，地库250元/月,,普通住宅,售罄
53403,福龙楼,深圳,龙岗,福田区滨河大道,,深圳市锦峰房地产开发有限公司,,70年,0,,普通住宅,售罄
53404,海王小区,深圳,南山,南山区前海路东,,深圳市海王物业管理有限公司,,,无地下车场,,,
53405,莲丰花园,深圳,福田,福田区北环路4013号莲花路与雨田路交口,,深圳市莲花物业管理公司,,70年,地下停车位，地面200元/月，地下250元/月,,普通住宅,售罄
53406,南富苑,深圳,南山,南山区关口1路特检,,深圳市海联物业管理有限公司,,50年,小区露天车位：地上150元/月，地下200元/月！,,普通住宅,售罄
53407,富民苑,深圳,宝安,新安街道办上川路,,深圳市富源物业管理有限公司,,70年,车位配比: 1:6.67,,普通住宅,售罄
53408,湖景花园,深圳,罗湖,罗湖区洪湖路32号,,深圳市信拓物业服务有限公司,,70年,1200,,普通住宅,售罄
53409,莲通花园,深圳,罗湖,莲塘畔山路3号,,深圳市惠名物业管理有限公司,,70年,只有露天停车场,,普通住宅,售罄
53410,雅景苑,深圳,龙岗,横岗镇雅景苑,,深圳市横岗瑞兴物业发展有限公司,,70年,车位户数比为 1：2.78,,普通住宅,售罄
53411,乐清小区,深圳,龙岗,横岗街道办,,深圳市横岗瑞兴物业发展有限公司,,70年,24个车位,,普通住宅,售罄
53412,联建楼,深圳,龙岗,横岗街道办,,深圳市横岗瑞兴物业发展有限公司,,70年,地下停车位,,普通住宅,售罄
53413,梧桐花园,深圳,龙岗,横岗街道办,,瑞星物业公司,,70年,142个车位，地上150元/月，地下200元/月,,普通住宅,售罄
53414,翠湖山庄,深圳,龙岗,横岗街道办翠湖山庄,,深圳市横岗瑞兴物业发展有限公司,,70年,786,,普通住宅,售罄
53415,华侨新村,深圳,宝安,宝安西乡宝安大道旁,,深圳市龙华民治股份合作公司物业管理分公司,,,地上车位,,普通住宅,售罄
53416,鹏城花园,深圳,罗湖,罗湖区东湖路8号,,深圳市陆港物业管理有限公司,,70年,250,,普通住宅,售罄
53417,静逸居,深圳,福田,福田区静逸街5号,,深圳市陆港物业管理有限公司,,,有地下车位,,普通住宅,售罄
53418,景茗苑,深圳,福田,福田景田北路3010号,,深圳市陆港物业管理有限公司,,70年,一户一车位,,普通住宅,售罄
53419,侨新花园,深圳,光明,宝安区光明侨新花园,,深圳市宝康来物业管理有限公司,,70年,0,,普通住宅,售罄
53420,海丽大厦,深圳,罗湖,罗湖区文锦中路1018号,,中海物业管理(深圳)有限公司,,70年,地上150元/月，地下200元/月,,普通住宅,售罄
53421,南海中心,深圳,罗湖,东门中路2073号,,深圳熊谷物业管理有限公司,,70年,200,,普通住宅,售罄
53422,木头龙小区,深圳,罗湖,罗湖区爱国路,,深圳市城建物业管理有限公司,,70年,露天停车位,,普通住宅,售罄
53423,马古岭小区,深圳,罗湖,罗湖区翠竹路,,深圳市城建物业管理有限公司,,70年,配备车位,,普通住宅,售罄
53424,东湖大厦,深圳,罗湖,罗湖区爱国路3018号,,深圳市城建物业管理有限公司,,70年,地上停车位、地下停车位。,,普通住宅,售罄
53425,景贝南小区,深圳,罗湖,罗湖区黄贝路,,,,70年,地面停车场：地下200元/月，地上150元/月！,,普通住宅,售罄
53426,下步庙北区,深圳,福田,福田区华强南路,,深圳市城建物业,,,300,,,售罄
53427,园中花园,深圳,福田,福田区红荔路和上步路交界,,深圳市城市建设开发（集团）有限公司,,70年,暂无,,普通住宅,售罄
53428,百花园一期,深圳,福田,福田区上步中路,,深圳市城建物业管理有限公司,,70年,500,,普通住宅,售罄
53429,泰华花园,深圳,宝安,宝安区前进路宝城30区,,深圳泰华物业管理有限公司,,70年,室内20位 室外50位,,普通住宅,售罄
53430,泰华苑,深圳,宝安,宝安40区新安一路112号,,深圳泰华物业管理有限公司,,70年,88,,普通住宅,售罄
53431,金泰花园,深圳,宝安,宝安创业路宝城45区,,深圳泰华物业管理有限公司,,70年,室内100位 室外42位；车位费：室内￥200.00/月 室外￥100.00/月,,普通住宅,售罄
53432,泰安花园,深圳,宝安,宝安上川路宝城48区,,深圳泰华物业管理有限公司,,70年,328个停车位,,普通住宅,售罄
53433,莲泉阁小区,深圳,罗湖,罗湖莲塘工业区,,深圳市鹏基物业管理服务有限公司,,70年,21个车位,,普通住宅,售罄
53434,鹏莲花园,深圳,罗湖,罗湖区莲塘罗沙路南,,深圳市鹏基物业管理服务有限公司,,70年,36,,普通住宅,售罄
53435,赛格苑,深圳,福田,福田福田区华强南路3034,,深圳市赛格物业管理有限公司,,,120,,普通住宅,售罄
53436,千叶苑,深圳,南山,南山区蛇口招商东路50号,,深圳招商物业管理有限公司,,70年,220,,普通住宅,售罄
53437,招东小区,深圳,南山,南山区蛇口招商东路50号,,招商其乐物业,,70年,室内140位 室外70位；车位费：室内￥250.00/月 室外￥110.00/月,,普通住宅,售罄
53438,金竹园大厦,深圳,南山,南山区蛇口工业九路,,深圳招商物业管理有限公司,,70年,20,,普通住宅,售罄
53439,怡庭园,深圳,南山,南山区爱榕路,,深圳招商物业管理有限公司,,,20,,普通住宅,售罄
53440,骏景华庭,深圳,龙华,宝安区龙华镇布龙公路与民治大道交汇西南角,,深圳市保利物业服务有限公司,,70年,400,,普通住宅,售罄
53441,万事达名苑,深圳,罗湖,深圳市罗湖区太宁路183号,,深圳市佳宏物业管理有限公司,,70年,350个车位：地下200元/月，地上150元/月！,,普通住宅,售罄
53442,通发花园,深圳,罗湖,罗湖区罗芳路,,深圳市金通物业管理公司,,70年,120,,普通住宅,售罄
53443,融富花园,深圳,龙岗,龙岗区坪地镇教育路十九小区,,融富物业公司,,,0,,普通住宅,售罄
53444,宏兴苑,深圳,龙岗,龙岗区中心城龙福西路82号,,深圳市岗宏城拓物业管理有限公司,,70年,788,,普通住宅,售罄
53445,香榭茗园,深圳,福田,福田区农园路与红荔西路交汇处,,深圳市香榭里物业经营管理有限公司,,70年,地面200元/月。地下250元/月,,普通住宅,售罄
53446,翠景大厦,深圳,罗湖,深圳市罗湖区田贝四路92号,,深圳市市政公用事业地盘管理公司,,,0,,普通住宅,售罄
53447,新中苑,深圳,福田,福田区新洲九街,,深圳市广业成物业管理有限公司,,70年,地上150元/月，地库250元/月,,普通住宅,售罄
53448,同乐大厦,深圳,罗湖,罗湖区笋岗东路1号,,深圳外贸物业管理公司,,70年,室内100位 室外80位；车位费：室内￥250.00/月 室外￥250.00/月,,普通住宅,售罄
53449,金田花园,深圳,南山,南山区南新路向南村,,深圳市金田房地产开发有限公司,,70年,0,,普通住宅,售罄
53450,金祥都市花园,深圳,罗湖,罗湖笋岗清水河德兴路,,深圳市金田房地产开发有限公司,,70年,400,,普通住宅,售罄
53451,银田花园,深圳,罗湖,金湖路42号,,深圳市金田房地产开发有限公司,,70年,30,,普通住宅,售罄
53452,金丽花园,深圳,罗湖,笋岗仓库内,,深圳市金田房地产开发有限公司,,70年,0,,普通住宅,售罄
53453,芳春花园,深圳,罗湖,罗湖区罗芳路55号,,深圳市金田房地产开发有限公司,,70年,252停车位,,普通住宅,售罄
53454,金豪花园,深圳,罗湖,泥岗东路1104号,,深圳市金田房地产开发有限公司,,70年,室内215位，室外280位，室内220/月，室外110/月,,普通住宅,售罄
53455,华联花园,深圳,南山,南山大道1109号,,深圳市华联物业管理有限公司,,70年,331,,普通住宅,售罄
53456,莲塘住宅小区,深圳,罗湖,罗湖莲塘仙湖植物园附近,,深圳巴士集团股份有限公司,,70年,250个停车位,,普通住宅,售罄
53457,紫薇阁,深圳,福田,福田景田北路106号,,深圳市彩生活服务集团有限公司,,70年,室内80位 室外20位；车位费：室内￥250.00/月 室外￥150.00/月,,普通住宅,售罄
53458,国兴苑,深圳,南山,南山区学府路138号,,深圳市国野物业管理发展有限公司,,70年,120停车位,,普通住宅,售罄
53459,新阁小区,深圳,福田,上梅林林园东路9号,,深圳市金众地产集团有限公司,,70年,车位充足,,普通住宅,售罄
53460,金众小区,深圳,福田,福田区竹子林,,深圳市金众地产集团有限公司,,70年,35,,普通住宅,售罄
53461,金竹花园,深圳,福田,福田区竹子林金竹花园,,深圳市金众地产集团有限公司,,70年,27,,普通住宅,售罄
53462,金海花园,深圳,福田,福田区竹子林金竹花园,,深圳市金众地产集团有限公司,,70年,地上120元/月,,普通住宅,售罄
53463,锦文阁大厦,深圳,福田,福田景田南路,,深圳市金众地产集团有限公司,,70年,303,,普通住宅,售罄
53464,汇鑫花园,深圳,罗湖,罗湖北斗路16号,,深圳市世纪汇鑫物业管理有限公司,,70年,187个停车位,,普通住宅,售罄
53465,景新花园,深圳,福田,福田区莲花路2002号景新花园,,建业住宅集团（中国）有限公司,,70年,1024,,普通住宅,售罄
53466,建业小区,深圳,福田,福田区深南大道竹子林,,广东省二建深圳分公司,,70年,车位充足,,普通住宅,售罄
53467,祥宝楼,深圳,罗湖,罗湖区红宝路67号,,深圳市红桂物业管理有限公司,,70年,地面停车场,,普通住宅,售罄
